title,speaker,duration,url
How business can drive solutions to social problems,Carlos Rodr\'edguez-Pastor,20:12,https://ted.com/talks/carlos_rodriguez_pastor_how_business_can_drive_solutions_to_social_problems
You don't actually know what your future self wants,TED Business,20:11,https://ted.com/talks/ted_business_you_don_t_actually_know_what_your_future_self_wants
Why meetings suck and how to fix them,WorkLife with Adam Grant,32:28,https://ted.com/talks/worklife_with_adam_grant_why_meetings_suck_and_how_to_fix_them
The company of wolves,Regina Mossotti,18:03,https://ted.com/talks/regina_mossotti_the_company_of_wolves
How to take the BS out of business speak,Bob Wiltfong,19:13,https://ted.com/talks/bob_wiltfong_how_to_take_the_bs_out_of_business_speak_sep_2023
How labor unions create worker power,How to Be a Better Human,34:27,https://ted.com/talks/coleman_hughes_and_jamelle_bouie_does_color_blindness_perpetuate_racism
How to stop finding your self-worth through your job,How to Be a Better Human,33:21,https://ted.com/talks/how_to_be_a_better_human_how_to_stop_finding_your_self_worth_through_your_job
How to retain Gen Z talent,Andrei Adam,18:02,https://ted.com/talks/andrei_adam_how_to_retain_gen_z_talent
What the fossil fuel industry doesn't want you to know,Al Gore,25:36,https://ted.com/talks/al_gore_what_the_fossil_fuel_industry_doesn_t_want_you_to_know
Episode 1: The Internet's First Main Character?,The Redemption of Jar Jar Binks,31:10,https://ted.com/talks/design_matters_with_debbie_millman_design_matters_megan_rapinoe
Why thinking about death helps you live a better life,Alua Arthur,18:34,https://ted.com/talks/alua_arthur_why_thinking_about_death_helps_you_live_a_better_life
"How to embrace \'96 and challenge \'96 the idea of ""beauty"" (w/ Elise Hu)",How to Be a Better Human,33:01,https://ted.com/talks/how_to_be_a_better_human_how_to_embrace_and_challenge_the_idea_of_beauty_w_elise_hu
A modern argument for the rights of animals,Peter Singer,35:33,https://ted.com/talks/peter_singer_a_modern_argument_for_the_rights_of_animals
"Kung Fu, Star Trek and the many paths to spirituality",Rainn Wilson,28:23,https://ted.com/talks/rainn_wilson_kung_fu_star_trek_and_the_many_paths_to_spirituality
TikTok's CEO on its future \'97 and what makes its algorithm different,Shou Chew,39:18,https://ted.com/talks/shou_chew_tiktok_s_ceo_on_its_future_and_what_makes_its_algorithm_different
The inside story of ChatGPT's astonishing potential,Greg Brockman,30:05,https://ted.com/talks/greg_brockman_the_inside_story_of_chatgpt_s_astonishing_potential
Diagnosing the scent of Parkinson's Disease,Joy Milne,18:50,https://ted.com/talks/joy_milne_diagnosing_the_scent_of_parkinson_s_disease
"Kelli - ""How do I deal with a communication breakdown?""",Fixable,27:19,https://ted.com/talks/fixable_kelli_how_do_i_deal_with_a_communication_breakdown
How do we get the world off fossil fuels quickly and fairly?,TED Countdown,34:50,https://ted.com/talks/ted_countdown_how_do_we_get_the_world_off_fossil_fuels_quickly_and_fairly
Why all dogs are good dogs,Alexandra Horowitz,30:01,https://ted.com/talks/alexandra_horowitz_why_all_dogs_are_good_dogs
3 elements of true fun \'97 and how to have more of it,Catherine Price,20:18,https://ted.com/talks/catherine_price_3_elements_of_true_fun_and_how_to_have_more_of_it
The hidden world of stadium deals,Good Sport,29:41,https://ted.com/talks/good_sport_the_hidden_world_of_stadium_deals
"The Truth About ""The Zone""",Good Sport,33:30,https://ted.com/talks/good_sport_the_truth_about_the_zone
