speaker,video_ids,videos,topics,has_wikipedia_page,wikipedia_url,wikipedia_summary,occupation,birth_date,nationality,popularity_score,average_popularity_score
Marielle Remillard,[142044],1,"['climate change, sustainability, technology, industrial design, business, innovation, resources']",False,,,,,,1874.4788732394368,1874.48
Marily Oppezzo,[8423],1,"['science, innovation, creativity, communication, personal growth, TEDx, human body, exercise']",False,,,,,,1498.0624783061437,1498.06
Marilyn Waring,[56629],1,"['economics, social change, society, TEDx, policy, international development']",True,https://en.wikipedia.org/wiki/Marilyn_Waring,,,"(1952-10-07) 7 October 1952 (age 73)Ngāruawāhia, New Zealand",,1788.3380084151472,1788.34
Marina Abramović,[2381],1,"['performance, collaboration, art, communication, energy, self, society, identity, fear, vulnerability']",True,https://en.wikipedia.org/wiki/Marina_Abramović,,,"(1946-11-30) November 30, 1946 (age 79)Belgrade, PR Serbia, FPR Yugoslavia",,1115.6617405582922,1115.66
Mario Paluzzi,[12972],1,"['technology, cities, international development']",False,,,,,,5.144869942196531,5.14
Marion Campan,[135190],1,"['culture, business, work, motivation, TEDx, work-life balance']",False,,,,,,1323.497950819672,1323.5
Marisa Fick-Jordan,[313],1,"['design, business, Africa, art']",False,,,,,,55.16682434563229,55.17
Marjan van Aubel,[37346],1,"['science, sustainability, technology, design, innovation, future, energy, solar energy, TEDx, electricity']",True,https://en.wikipedia.org/wiki/Marjan_van_Aubel,"Marjan van Aubel (born in 1985) is a Dutch solar designer based in Amsterdam, the Netherlands.[1]",Solar designer,"1985 (1985)Bergen op Zoom, Netherlands",,391.5560098119379,391.56
Mark Abraham,[138141],1,"['technology, business, marketing, AI, personality']",True,https://en.wikipedia.org/wiki/Mark_Abraham,,"Real estate broker
businessman","(1953-11-11) November 11, 1953 (age 72)",,1228.9221698113208,1228.92
Mark Applebaum,[1526],1,"['entertainment, music, performance, creativity, art, TEDx']",True,https://en.wikipedia.org/wiki/Mark_Applebaum,"Mark Applebaum (born 1967 in Chicago, Illinois) is an American composer and professor of music composition and theory at Stanford University.[1]",,,,1186.1661873459327,1186.17
Mark Bezos,[1096],1,"['culture, community, compassion']",True,https://en.wikipedia.org/wiki/Mark_Bezos,,Advertising executive,Marcus Jim Bezosc. 1967 (age 57–58),,762.8578340156308,762.86
Mark Edwards,[113194],1,"['social change, health, health care, United States, family, The Audacious Project']",False,https://en.wikipedia.org/wiki/Mark_Edwards,,,,,1193.313399778516,1193.31
Mark Forsyth,[1548],1,"['culture, politics, language, TEDx']",True,https://en.wikipedia.org/wiki/Mark_Forsyth,,Author,"(1977-04-02) 2 April 1977 (age 48)London, England",,390.6447828771352,390.64
Mark Grimmer,[137462],1,"['culture, technology, design, entertainment, art, storytelling, Ideas']",False,,,,,,1203.4333333333334,1203.43
Mark Halliday,[19115],1,"['technology, film, productivity']",True,https://en.wikipedia.org/wiki/Mark_Halliday,"Mark Halliday (born 1949 in Ann Arbor, Michigan)[1] is an American poet, professor and critic. He is author of seven collections of poetry, most recently Losers Dream On (University of Chicago Press, 2018), Thresherphobe (University of Chicago Press, 2013) and Keep This Forever (Tupelo Press, 2008). His honors include serving as the 1994 poet-in-residence at the Frost Place, inclusion in several annual editions of The Best American Poetry series and of the Pushcart Prize anthology, receiving a 2",Poetprofessorcritic,"1949 (age 75–76)Ann Arbor, Michigan",,2.568071615069004,2.57
Mark Jackson,[20467],1,"['technology, agriculture, farming']",True,https://en.wikipedia.org/wiki/Mark_Jackson,,,"(1965-04-01) April 1, 1965 (age 60)Queens, New York, U.S.",,20.00447594181276,20.0
Mark Kelly,[1972],1,['violence'],True,https://en.wikipedia.org/wiki/Mark_Kelly,,,"Mark Edward Kelly (1964-02-21) February 21, 1964 (age 61)[1]Orange, New Jersey, U.S.",,278.9567262464723,278.96
Mark Kendall,[1905],1,"['science, technology, biotech, innovation, disease, health, health care, biology, future, product design, medicine, demo, illness, public health, microbiology, Vaccines, medical research, bioethics, drugs, nanotechnology']",False,https://en.wikipedia.org/wiki/Mark_Kendall,,,,,266.09979257893525,266.1
Mark Modesti,[13021],1,"['business, leadership, decision-making']",False,,,,,,7.687138728323699,7.69
Mark Mortensen,[115140],1,"['business, social change, communication, community, leadership, work, motivation, society, TEDx, work-life balance, goals']",False,,,,,,1774.8719723183392,1774.87
Mark Pagel,[1203],1,"['culture, science, evolution, biology, communication, language']",True,https://en.wikipedia.org/wiki/Mark_Pagel,,,"Mark David Pagel (1954-06-05) 5 June 1954 (age 71)[1]Seattle, Washington, US[1]",,383.9786014520443,383.98
Mark Plotkin,[2141],1,"['culture, medicine, rivers, indigenous peoples']",True,https://en.wikipedia.org/wiki/Mark_Plotkin,"Mark J. Plotkin (born May 21, 1955) is an ethnobotanist and a plant explorer in the Neotropics, where he is an expert on rainforest ecosystems. Plotkin is an advocate for tropical rainforest conservation and host of the Plants of the Gods: Hallucinogens, Healing, Culture and Conservation podcast.","Ethnobotanist, advocate, author, and podcast host","(1955-05-21) May 21, 1955 (age 70)",,431.92198757763975,431.92
Mark Pollock,[20975],1,"['science, technology, collaboration, innovation, creativity, love, future, personal growth, neurology, disability, human body']",True,https://en.wikipedia.org/wiki/Mark_Pollock,,"Motivational speaker, explorer, and author",(1976-02-29) 29 February 1976 (age 49)Ireland,,862.2808478425435,862.28
Mark Raymond,[1393],1,"['sustainability, design, architecture, cities, social change, TEDx']",True,https://en.wikipedia.org/wiki/Mark_Raymond,,,,,39.80563324011187,39.81
Mark Ronson,[1994],1,"['entertainment, music, performance']",True,https://en.wikipedia.org/wiki/Mark_Ronson,,Disc jockeyrecord producersongwriterremixer,"Mark Daniel Ronson (1975-09-04) 4 September 1975 (age 50)London, England",United KingdomUnited States[1],1222.254971590909,1222.25
Mark Roth,[796],1,"['science, health care, biology, fish, war']",True,https://en.wikipedia.org/wiki/Mark_Roth,,,"Mark Stephen Roth(1951-04-10)April 10, 1951Brooklyn, New York City, U.S.",,141.56202090592333,141.56
Mark Shaw,[1700],1,"['technology, invention, demo, water, nanotechnology']",False,https://en.wikipedia.org/wiki/Mark_Shaw,,,,,363.5085257932225,363.51
Mark Tyndall,[13247],1,"['death, social change, community, medicine, public health, TEDMED, addiction, drugs']",False,,,,,,579.426724137931,579.43
Markham Nolan,[1630],1,"['culture, Internet, journalism']",False,,,,,,344.9959898691431,345.0
Markus Fischer,[1195],1,"['technology, design, robots, animals, biomimicry']",False,,,,,,1698.9956157072054,1699.0
Markus Lorenz,[5149],1,"['economics, machine learning, manufacturing, international development']",False,,,,,,87.0160848733744,87.02
Markus Mutz,[52465],1,"['environment, sustainability, technology, business, innovation, consumerism, blockchain']",False,,,,,,987.5044247787612,987.5
Marla Spivak,[1822],1,"['climate change, environment, science, sustainability, food, animals, history, pollution, biodiversity, insects, bees, agriculture, botany, conservation, ecology, plants, gardening']",True,https://en.wikipedia.org/wiki/Marla_Spivak,"Marla Spivak (born 1955) is an American entomologist, and Distinguished McKnight University Professor at the University of Minnesota specializing in apiculture and social insects.[8]",,"1955 (age 69–70)Denver, Colorado[6]",,741.447285778376,741.45
Marlene Zuk,[2301],1,"['science, animals, gender, biology, biodiversity, insects, humor, sex']",True,https://en.wikipedia.org/wiki/Marlene_Zuk,,,"(1956-05-20) May 20, 1956 (age 69)Philadelphia, Pennsylvania, U.S.[1]",United States,426.5527704485488,426.55
Marlon Peterson,[2794],1,"['social change, activism, personal growth, humanity, society, crime, identity, TED Residency, justice system']",False,,,,,,412.10721184803606,412.11
Marta Peirano,[16985],1,"['technology, communication, data, surveillance, online privacy']",False,,,,,,1769.7838427947595,1769.78
Martha Minow,[60315],1,"['social change, community, United States, law, society, crime, prison, justice system, equality']",True,https://en.wikipedia.org/wiki/Martha_Minow,,,"Martha Louise Minow (1954-12-06) December 6, 1954 (age 71)Highland Park, Illinois, U.S.",,984.5762548262549,984.58
Martha Redbone,[51938],1,"['music, performance, indigenous peoples']",True,https://en.wikipedia.org/wiki/Martha_Redbone,Martha Redbone (born 1966) is an American singer known for blending rhythm and blues and soul with elements of Native American music[2],,New York City,,5.932792061344159,5.93
Martin Danoesastro,[28518],1,"['business, innovation, creativity, leadership, success, work, motivation']",False,,,,,,995.5009924573244,995.5
Martin Ford,[3573],1,"['technology, economics, computers, innovation, robots, social change, future, work, AI, humanity, society, data, algorithm, capitalism, machine learning, equality']",False,https://en.wikipedia.org/wiki/Martin_Ford,,,,,1182.8813387423936,1182.88
Martin Gutmann,[130848],1,"['business, history, communication, leadership, work, personal growth, TEDx']",False,,,,,,1329.61690647482,1329.62
Martin Hanczyc,[1264],1,"['science, innovation, evolution, biology, AI, chemistry, ecology, nanotechnology']",False,,,,,,182.89431685480733,182.89
Martin J. Eppler,[142127],1,"['design, business, media, collaboration, creativity, storytelling, communication, TEDx']",True,https://en.wikipedia.org/wiki/Martin_J._Eppler,"Martin J. Eppler is a Swiss communication and management scholar, Professor of Media and Communication Management at the University of St. Gallen, and director of its Institute for Media and Communication Management, known for his contributions in the field of knowledge management, specifically information overload[1] and Information Quality Management, Collaboration, and Knowledge Visualization.",,,,2893.665722379604,2893.67
Martin Jacques,[1059],1,"['culture, global issues, business, economics, Asia, china']",True,https://en.wikipedia.org/wiki/Martin_Jacques,,"Academic, writer","1945 (age 79–80)Coventry, England",,905.2256221198156,905.23
Martin Lockley,[111973],1,"['science, history, paleontology, ancient world, dinosaurs, TEDx, discovery']",True,https://en.wikipedia.org/wiki/Martin_Lockley,,,,,1327.2260869565218,1327.23
