speaker,videos,average_popularity_score,viral_rate,viral_consistency,viral_presence,wikipedia_numeric,comprehensive_popularity_score
David Ikard,1,1138.91,0.0,0,0,1,7.875535316770793
David J. Bier,1,936.22,0.0,0,0,0,1.6786694606273849
David Katz,1,776.15,0.0,0,0,0,1.3915949415916633
David Keith,1,244.56,0.0,0,0,0,0.4382248936488942
David Korins,1,725.98,0.0,0,0,1,7.134973805273195
David Lee,1,704.5,0.0,0,0,0,1.2630956019970518
David Lindell,1,186.95,0.0,0,0,0,0.33490532694902597
David Logan,1,324.49,0.0,0,0,0,0.5815738428993797
David M. Howard,1,1171.97,0.0,0,0,0,2.1014708466626897
David MacKay,1,124.97,0.0,0,0,0,0.22374846626411313
David Macaulay,1,123.27,0.0,0,0,1,6.05405493622828
David McCandless,1,708.39,0.0,0,0,1,7.103427351910052
David McWilliams,1,1421.8,0.0,0,0,0,2.549523742837452
David Merrill,1,321.98,0.0,0,0,0,0.577072330793553
David Miliband,1,508.39,0.0,0,0,1,6.744741128338213
David Perry,1,230.38,0.0,0,0,0,0.4127940403976508
David Peterson,1,769.36,0.0,0,0,1,7.212772847165927
David Pizarro,1,170.0,0.0,0,0,1,6.13786197236584
David Puts,1,128.69,0.0,0,0,0,0.2304200300225493
David Puttnam,1,231.44,0.0,0,0,1,6.248050380247109
David R. Dow,1,886.64,0.0,0,0,0,1.5897511458039255
David R. Liu,1,1082.2,0.0,0,0,1,7.773829838076998
David R. Williams,1,661.8,0.0,0,0,1,7.019871396128992
David Rockwell,1,143.32,0.0,0,0,1,6.0900132301413565
David Rothkopf,1,361.15,0.0,0,0,1,6.480676330544624
David S. Rose,1,249.34,0.0,0,0,1,6.280152797256788
David Sedlak,1,356.68,0.0,0,0,1,6.472659693447795
David Sengeh,1,220.18,0.0,0,0,1,6.227856345860014
David Steindl-Rast,1,2170.54,0.0,0,0,1,9.725692660887871
David Suh,1,1668.12,0.0,0,0,0,2.991281695788529
David Titley,1,356.68,0.0,0,0,1,6.472659693447795
David Wallace-Wells,1,1134.91,0.0,0,0,1,7.8683615922993555
David Wengrow,1,2050.95,0.0,0,0,1,9.511216233503092
David Wenham,1,81.14,0.0,0,0,1,5.978497683232872
David Whyte,1,428.85,0.0,0,0,0,0.7687363143591651
David Witzeneder,1,4.77,0.0,0,0,0,0.008178045897437926
David York,1,28.1,0.0,0,0,1,5.88337409674162
Davonte Green,1,2057.43,0.0,0,0,0,3.689482364282292
Dawn Landes,1,355.55,0.0,0,0,1,6.470633116284613
Dawn Lippert,1,1145.81,0.0,0,0,0,2.054554688619493
Dawn Wacek,1,696.6,0.0,0,0,0,1.2489274961659644
Dayananda Saraswati,1,85.08,0.0,0,0,1,5.9855638018372375
Dayo Ogunyemi,1,368.01,0.0,0,0,0,0.6596239651486117
DeAndrea Salvador,1,616.23,0.0,0,0,1,6.938144740088149
Dean Furness,1,1994.85,0.0,0,0,0,3.577249444926663
Dean R. Lomax,1,1479.16,0.0,0,0,0,2.652394951757856
Deanna Van Buren,1,433.03,0.0,0,0,1,6.609588159296344
Deb Chachra,1,1135.33,0.0,0,0,1,7.869114833368856
Deb Roy,1,607.1,0.0,0,0,1,6.921770713982093
Deb Willis,1,357.74,0.0,0,0,0,0.6412054275681979
Debbie Lovich,1,1405.58,0.0,0,0,0,2.520434290105776
Deborah Lipstadt,1,520.63,0.0,0,0,1,6.7666927252208104
Deborah Rhodes,1,201.13,0.0,0,0,0,0.3603361802002694
Deborah Scranton,1,91.38,0.0,0,0,1,5.99686241787975
Debra Jarvis,1,291.86,0.0,0,0,1,6.356409488388162
Dee Boersma,1,82.75,0.0,0,0,1,5.981385107332626
Deepa Narayan,1,292.34,0.0,0,0,1,6.357270335324734
Deepa Purushothaman,1,1278.02,0.0,0,0,0,2.2916642167116574
Deepika Kurup,1,409.25,0.0,0,0,1,6.566940367313652
Deeyah Khan,1,459.78,0.0,0,0,1,6.657562441699078
Deja Foxx,1,3940.85,100.0,1,1,1,48.73408999217013
Delali Bright,1,9.59,0.0,0,0,0,0.016822383885519245
Demis Hassabis,1,1915.45,0.0,0,0,1,9.268206317033172
Dena Simmons,1,476.6,0.0,0,0,0,0.8543726502369416
Denis Dutton,1,499.85,0.0,0,0,1,6.729425226591696
Denise Herzing,1,371.04,0.0,0,0,1,6.498413364300252
Denise Zmekhol,1,5.61,0.0,0,0,0,0.009684528036439651
Derek Banta,1,5.89,0.0,0,0,0,0.010186688749440224
Derek Paravicini,1,372.17,0.0,0,0,1,6.5004399414634335
Derek Sarno,1,1137.81,0.0,0,0,1,7.873562542541148
Derren Brown,1,1253.66,0.0,0,0,1,8.081331537545134
Desiree Akhavan,1,1220.34,0.0,0,0,1,8.021574412698067
Dessa,1,1963.07,0.0,0,0,1,9.353609506865626
Detroit Youth Choir,1,138.46,0.0,0,0,0,0.24794185204403363
Deutsche Philharmonie Merck,1,0.67,0.0,0,0,0,0.0008249783142152295
Deval Patrick,1,1325.45,0.0,0,0,1,8.210081957496246
Devdutt Pattanaik,1,426.91,0.0,0,0,1,6.5986123608550455
Devita Davison,1,462.75,0.0,0,0,0,0.8295336292545918
Dexter Dias,1,939.36,0.0,0,0,0,1.6843008343374624
Diana Adams,1,1586.05,0.0,0,0,1,8.677450106810353
Diana Dosik,1,64.69,0.0,0,0,0,0.11564043847956088
Diana Greene Foster,1,1065.18,0.0,0,0,1,7.743305640451034
Diana Laufenberg,1,451.22,0.0,0,0,0,0.8088553684656753
Diana Reiss,1,176.93,0.0,0,0,1,6.150290450012604
Diane Allen,1,84.64,0.0,0,0,1,5.98477469214538
Diane Benscoter,1,230.72,0.0,0,0,0,0.41340380697772294
Diane Kelly,1,991.37,0.0,0,0,0,1.777577186777319
Diane Knutson,1,19.76,0.0,0,0,0,0.035061578354147256
Diane Wolk-Rogers,1,912.74,0.0,0,0,0,1.6365596979800507
Dianna Cohen,1,201.96,0.0,0,0,1,6.19518003089262
Diarra Bousso,1,955.39,0.0,0,0,0,1.7130495351567452
Dick M. Carpenter II,1,1041.09,0.0,0,0,0,1.866746581957278
Didier Sornette,1,354.57,0.0,0,0,1,6.468875553789112
Dilip Ratha,1,372.29,0.0,0,0,1,6.5006551531975765
Dimitar Sasselov,1,237.8,0.0,0,0,1,6.2594566021566935
Dina Katabi,1,616.18,0.0,0,0,1,6.938055068532255
Dina Zielinski,1,816.99,0.0,0,0,0,1.464838668445033
Dion Drew,1,29.29,0.0,0,0,0,0.052152976907345376
Divya Siddarth,1,974.34,0.0,0,0,0,1.7470350548401772
Dixon Chibanda,1,1128.22,0.0,0,0,0,2.02300823525635
Diébédo Francis Kéré,1,317.46,0.0,0,0,1,6.4023213250053574
Djazia Satour,1,2.36,0.0,0,0,0,0.003855876903397268
Dolly Chugh,1,2005.36,0.0,0,0,0,3.5960984059753636
Dominic Price,1,2021.84,0.0,0,0,1,9.45900945366221
Don Levy,1,174.06,0.0,0,0,1,6.145143302704349
Don Norman,1,403.86,0.0,0,0,1,6.557273773588392
Donald Hoffman,1,1427.09,0.0,0,0,0,2.559010993450927
Donald Sadoway,1,504.4,0.0,0,0,1,6.737585338177954
Dong Woo Jang,1,581.08,0.0,0,0,0,1.0417503334308702
Donna Murphy,1,1660.73,0.0,0,0,1,8.811383542692077
Donnel Baird,1,863.13,0.0,0,0,1,7.380942883087584
Dorcas Naishorua,1,987.42,0.0,0,0,0,1.770493133861775
Doreen Koenning,1,7.46,0.0,0,0,0,0.013002375604479161
Dorie Clark,1,1692.66,0.0,0,0,1,8.868647798285322
Doris Kearns Goodwin,1,341.72,0.0,0,0,1,6.445829963924621
Doris Kim Sung,1,275.21,0.0,0,0,0,0.4931935574112785
Doris Mitsch,1,1041.39,0.0,0,0,0,1.8672846112926362
Doris Sung,1,1062.34,0.0,0,0,1,7.738212296076314
Dorothy Roberts,1,473.1,0.0,0,0,1,6.681450944188962
Dorsa Amir,1,482.17,0.0,0,0,0,0.8643620615634173
Doug Roble,1,316.92,0.0,0,0,0,0.5679975693371856
Douglas Beal,1,16.96,0.0,0,0,0,0.030039971224141506
Douglas Rushkoff,1,747.29,0.0,0,0,1,7.173191822394774
Douglas Thomas,1,176.07,0.0,0,0,0,0.31539279638671797
Dr. Robert Talisse,1,3.62,0.0,0,0,1,5.839470902976427
Dr. Thomas Boothby,1,20.36,0.0,0,0,0,0.03613763702486277
Dr. Turi King,1,43.58,0.0,0,0,0,0.07778110758155325
Dragana Rogulja,1,17.61,0.0,0,0,1,5.864561004315277
Dread Scott,1,552.64,0.0,0,0,1,6.824100455303482
Drew Berry,1,774.98,0.0,0,0,1,7.222851930048295
Drew Curtis,1,232.02,0.0,0,0,1,6.2490905702954676
Drew Dudley,1,1385.93,0.0,0,0,0,2.485193368639843
Drew Humphreys,1,16.14,0.0,0,0,0,0.028569357707496967
Drew Philp,1,501.73,0.0,0,0,0,0.8994415742287434
Drew Silverstein,1,4.24,0.0,0,0,0,0.007227527404972554
Duarte Geraldino,1,413.49,0.0,0,0,0,0.7411892123888479
Duckwrth,1,11.5,0.0,0,0,1,5.853603140185157
Duncan Cowles,1,2.89,0.0,0,0,0,0.004806395395862641
Duncan Keegan,1,1446.05,0.0,0,0,0,2.5930144474455377
Dundee Gouin,1,21.87,0.0,0,0,0,0.038845718012830155
Dustin Ballard,1,3657.74,100.0,1,1,1,48.226351708393004
Dustin Burke,1,1407.69,0.0,0,0,0,2.524218429764459
Dustin Schroeder,1,367.68,0.0,0,0,0,0.6590321328797182
Dustin Yellin,1,658.95,0.0,0,0,1,7.014760117443093
Dwan Reece,1,1418.75,0.0,0,0,0,2.5440537779279815
Dwight Stitt,1,8.04,0.0,0,0,0,0.014042565652837492
Dwinita Mosby Tyler,1,1132.01,0.0,0,0,0,2.029805339193036
Dyan deNapoli,1,89.45,0.0,0,0,0,0.16004579295775453
Dyhia Belhabib,1,918.18,0.0,0,0,1,7.479671266125731
Dylan Marron,1,1858.76,0.0,0,0,1,9.166536706961733
Débora Mesa Molina,1,259.54,0.0,0,0,0,0.465090491794425
ELEW,1,2.73,0.0,0,0,1,5.837874749281532
Eames Demetrios,1,145.96,0.0,0,0,0,0.2613925854279776
Eben Bayer,1,246.06,0.0,0,0,0,0.44091504032568296
Ebony Roberts,1,1103.8,0.0,0,0,0,1.9792126473582285
Ed Cage,1,1347.67,0.0,0,0,0,2.41657669407055
Ed Gavagan,1,235.46,0.0,0,0,0,0.4219046704763756
Ed Newton-Rex,1,1913.13,0.0,0,0,0,3.4306902539752104
Ed Ulbrich,1,183.49,0.0,0,0,0,0.3287000552812332
Ed Yong,1,472.44,0.0,0,0,1,6.680267279651176
Eddie Jaku,1,982.96,0.0,0,0,1,7.59584973394065
Eddie Obeng,1,367.86,0.0,0,0,1,6.49271025334546
Eddie Woo,1,1507.26,0.0,0,0,1,8.536145669034227
Eddy Cartaya,1,170.28,0.0,0,0,0,0.3050088302143132
Edi Rama,1,146.95,0.0,0,0,1,6.096523385099186
Edith Elliott,1,706.76,0.0,0,0,0,1.2671487563234136
Edo Liberty,1,24.74,0.0,0,0,0,0.04399286532108604
Edsel Salvaña,1,494.78,0.0,0,0,0,0.886977227959622
Eduardo Briceño,1,1458.81,0.0,0,0,0,2.615898628509421
Eduardo Paes,1,190.96,0.0,0,0,1,6.175452288596168
Eduardo Sáenz de Cabezón,1,548.06,0.0,0,0,1,6.815886540783687
Edward Saatchi,1,14.77,0.0,0,0,1,5.859467659940557
Edward Snowden,1,1385.17,0.0,0,0,1,8.317185663854797
Efosa Ojomo,1,969.24,0.0,0,0,1,7.571243859003624
Eileen Isagon Skyers,1,1227.34,0.0,0,0,0,2.200773127658553
Einav Gefen,1,3.27,0.0,0,0,0,0.005487899220649135
Einstein the Parrot,1,505.98,0.0,0,0,0,0.9070636564796449
Elaine Fong,1,884.61,0.0,0,0,0,1.5861104806346715
Elaine Morgan,1,249.76,0.0,0,0,1,6.28090603832629
Eldra Jackson,1,702.33,0.0,0,0,0,1.2592038564712975
Eleanor Longden,1,1364.09,0.0,0,0,0,2.4460248330257977
Eleftheria Pissadaki,1,3.98,0.0,0,0,0,0.006761235314329163
Elena Chavez Quezada,1,4.46,0.0,0,0,0,0.007622082250901577
Elena Crescia,1,40.03,0.0,0,0,0,0.07141442711315313
Eleni Gabre-Madhin,1,129.02,0.0,0,0,1,6.06436716515597
Eleni Myrivili,1,1949.28,0.0,0,0,1,9.328878091750347
Eli Beer,1,258.87,0.0,0,0,1,6.297244195809987
Elias Weiss Friedman,1,1236.79,0.0,0,0,0,2.2177210517223225
Eliezer Yudkowsky,1,1666.18,0.0,0,0,1,8.82115774228441
Elijah Cummings,1,29.54,0.0,0,0,1,5.885956637551338
Elisabeth Pierre,1,3.39,0.0,0,0,0,0.005703110954792238
Elise Hu,1,1489.7,0.0,0,0,1,8.50465301860462
Elise LeGrow,1,125.44,0.0,0,0,1,6.057946681754035
Elise Payzan-LeNestour,1,22.43,0.0,0,0,0,0.0398500394388313
Elise Roy,1,487.91,0.0,0,0,0,0.8746563561799292
"Elizabeth ""Zibi"" Turtle",1,1014.94,0.0,0,0,0,1.8198483582252605
Elizabeth Blackburn,1,856.38,0.0,0,0,1,7.368837223042034
Elizabeth Camarillo Gutierrez,1,1035.02,0.0,0,0,0,1.8558604550718731
Elizabeth Cawein,1,547.9,0.0,0,0,0,0.982244288940302
Elizabeth Diller,1,169.11,0.0,0,0,1,6.136265818670945
Elizabeth Dunn,1,1868.6,0.0,0,0,1,9.184184069161468
Elizabeth Howell,1,895.46,0.0,0,0,0,1.6055692082634438
Elizabeth Lev,1,528.92,0.0,0,0,0,0.9482049663233346
Elizabeth Lindsey,1,108.3,0.0,0,0,1,6.027207272393928
Elizabeth Loftus,1,1532.26,0.0,0,0,1,8.580981446980704
Elizabeth Lyle,1,1143.78,0.0,0,0,0,2.0509140234502388
Elizabeth Murchison,1,112.71,0.0,0,0,1,6.035116303623687
Elizabeth Nyamayaro,1,401.91,0.0,0,0,1,6.553776582908566
Elizabeth Pisani,1,313.66,0.0,0,0,1,6.3955062867574926
Elizabeth Stordeur Pryor,1,1122.38,0.0,0,0,0,2.0125345975280524
Elizabeth Streb,1,589.86,0.0,0,0,1,6.890851961510201
Elizabeth Strickler,1,1585.39,0.0,0,0,0,2.842911139408038
Elizabeth Wayne,1,784.54,0.0,0,0,1,7.23999713153503
Elizabeth White,1,778.43,0.0,0,0,1,7.229039267404909
Elizabeth Zion,1,1258.51,0.0,0,0,0,2.2566743756022243
Elle Cordova,1,1526.88,0.0,0,0,1,8.571332787566623
Ellen 't Hoen,1,95.48,0.0,0,0,1,6.004215485462973
Ellen Agler,1,163.2,0.0,0,0,0,0.29231133789987007
Ellen Dunham-Jones,1,143.92,0.0,0,0,1,6.091089288812072
Ellen Gustafson,1,152.22,0.0,0,0,1,6.105974767090303
Ellen Støkken Dahl,1,634.84,0.0,0,0,0,1.1381651903269805
Ellen Trachman,1,1433.82,0.0,0,0,0,2.5710807848741197
Elliot Krane,1,419.25,0.0,0,0,0,0.7515193756277169
Elora Hardy,1,1622.18,0.0,0,0,1,8.742246773098605
Elsbeth Magilton,1,36.59,0.0,0,0,0,0.0652450240677175
Elyn Saks,1,1081.8,0.0,0,0,1,7.773112465629854
Eman Mohammed,1,378.48,0.0,0,0,0,0.6784011889525976
Emeli Sandé,1,21.16,0.0,0,0,1,5.870927684783677
Emilie Wapnick,1,2484.53,100.0,1,1,0,40.2889250837449
Emilie Weight,1,14.09,0.0,0,0,0,0.024892823915885622
Emily Anhalt,1,139.38,0.0,0,0,0,0.2495918086724641
Emily Balcetis,1,1076.17,0.0,0,0,1,7.763015448436307
Emily Esfahani Smith,1,5018.77,100.0,1,1,0,44.833909959868386
Emily F. Rothman,1,1600.76,0.0,0,0,0,2.870476175689533
Emily Grubert,1,1401.77,0.0,0,0,0,2.513601317546733
Emily Jaenson,1,4524.62,100.0,1,1,1,49.78104127584279
Emily King,1,1.75,0.0,0,0,1,5.836117186786031
Emily Leproust,1,783.03,0.0,0,0,1,7.237289050547062
Emily Levesque,1,252.81,0.0,0,0,1,6.286376003235759
Emily Oster,1,147.66,0.0,0,0,1,6.097796721192865
Emily Parsons-Lord,1,316.44,0.0,0,0,0,0.5671367224006131
Emily Pilloton,1,203.92,0.0,0,0,0,0.36533985301909655
Emily Pilloton-Lam,1,1962.18,0.0,0,0,1,9.352013353170731
Emily Quinn,1,1212.57,0.0,0,0,0,2.174284150047773
Emma Bridgewater,1,3.33,0.0,0,0,1,5.838950807952249
Emma Hart,1,1347.56,0.0,0,0,0,2.416379416647586
Emma Marris,1,733.96,0.0,0,0,1,7.149285385593712
Emma Nehrenheim,1,849.29,0.0,0,0,0,1.5227664935518848
Emma Rodero,1,2038.07,0.0,0,0,0,3.654761537840538
Emma Schachner,1,213.92,0.0,0,0,0,0.38327416419768845
Emma Teeling,1,121.84,0.0,0,0,1,6.051490329729741
Emmanuel Acho,1,1313.68,0.0,0,0,1,8.188973273239045
Emmanuel Jal,1,178.27,0.0,0,0,1,6.152693647710535
Emmanuel Schanzer,1,191.9,0.0,0,0,0,0.34378281098242897
Emmett Shear,1,175.2,0.0,0,0,1,6.147187814178708
Emtithal Mahmoud,1,388.75,0.0,0,0,1,6.530175029397539
Enrico Ramirez-Ruiz,1,1042.47,0.0,0,0,1,7.702576819764452
Enrique Peñalosa,1,225.46,0.0,0,0,1,6.237325662162311
Enzo Romero,1,1262.13,0.0,0,0,0,2.263166596248875
Erez Yoeli,1,983.18,0.0,0,0,0,1.7628889859220522
Eric Berridge,1,531.52,0.0,0,0,0,0.9528678872297685
Eric Dyer,1,413.43,0.0,0,0,0,0.7410816065217765
Eric Garcetti,1,799.28,0.0,0,0,1,7.266432306212274
Eric Giler,1,388.26,0.0,0,0,0,0.6959409452852604
Eric Hinterman,1,1174.7,0.0,0,0,0,2.1063669136144454
Eric Mead,1,226.46,0.0,0,0,0,0.4057637904156428
Eric Mibuari,1,5.39,0.0,0,0,0,0.009289973190510626
Eric Nguyen,1,4036.96,100.0,1,1,1,48.90645665690757
Eric Nuzum,1,1113.27,0.0,0,0,0,1.9961964400443553
Eric Sanderson,1,523.32,0.0,0,0,1,6.77151705492785
Eric Sannerud,1,1053.87,0.0,0,0,0,1.8896666316435187
Eric Schmidt,1,12730.89,100.0,1,1,1,64.49842125539716
Eric X. Li,1,788.35,0.0,0,0,1,7.246830104094074
Eric Yuan,1,112.14,0.0,0,0,1,6.034094047886507
Erica Frenkel,1,86.6,0.0,0,0,0,0.1549345142718558
Erica Joy Baker,1,20.54,0.0,0,0,1,5.8698157574906045
Erica Stone,1,382.1,0.0,0,0,0,0.6848934095992478
Erick Brethenoux,1,4.72,0.0,0,0,0,0.008088374341544968
Erik Brynjolfsson,1,314.07,0.0,0,0,1,6.396241593515814
Erik Hersman,1,84.74,0.0,0,0,1,5.984954035257165
Erik Johansson,1,867.59,0.0,0,0,0,1.5555862830087082
Erik Schlangen,1,237.33,0.0,0,0,0,0.4252583866667722
Erika Cheung,1,1469.87,0.0,0,0,0,2.6357339766729435
Erika Debenedictis,1,6.09,0.0,0,0,0,0.010545374973012063
Erika Gregory,1,321.45,0.0,0,0,0,0.5761218123010877
Erika Hamden,1,817.97,0.0,0,0,1,7.299951533805063
Erika Pinheiro,1,1003.37,0.0,0,0,0,1.7990983601916293
Erin Baumgartner,1,986.0,0.0,0,0,0,1.7679464616744152
Erin Marie Saltman,1,442.7,0.0,0,0,0,0.793575335341515
Erin Sullivan,1,818.04,0.0,0,0,1,7.300077073983312
Ermias Kebreab,1,1443.18,0.0,0,0,0,2.587867300137282
Ernest Madu,1,72.66,0.0,0,0,1,5.963289387353425
Ernestine Leikeki Sevidzem,1,74.74,0.0,0,0,0,0.13366442121404576
Ernesto Sirolli,1,851.5,0.0,0,0,1,7.360085279186881
Erricka Bridgeford,1,359.71,0.0,0,0,1,6.478093789734908
Ersin Han Ersin,1,1047.99,0.0,0,0,0,1.8791212566705067
Es Devlin,1,310.17,0.0,0,0,1,6.389247212156164
Esha Alwani,1,231.61,0.0,0,0,0,0.4149999606726177
Esha Chhabra,1,941.7,0.0,0,0,0,1.6884974631532532
Essam Daod,1,562.26,0.0,0,0,0,1.0079979597927602
Esta Soler,1,321.77,0.0,0,0,1,6.41005101312333
Estelle Gibson,1,1166.99,0.0,0,0,0,2.0925395596957506
Esther Meduna,1,14.36,0.0,0,0,0,0.0253770503177076
Esther Ndichu,1,42.59,0.0,0,0,0,0.07600561077487267
Esther Sullivan,1,13.03,0.0,0,0,0,0.022991786930954872
Ethan Hawke,1,3763.33,100.0,1,1,1,48.415720100127764
Ethan Kross,1,3831.29,100.0,1,1,1,48.537601678897474
Ethan Lindenberger,1,1011.73,0.0,0,0,1,7.64744674720146
Ethan Lisi,1,1340.7,0.0,0,0,0,2.404076479179072
Ethan Mann,1,25.48,0.0,0,0,0,0.04532000434830184
Ethan Nadelmann,1,613.0,0.0,0,0,1,6.932351957577463
Ethan Zuckerman,1,162.76,0.0,0,0,1,6.124877531072539
Ethel,1,65.56,0.0,0,0,1,5.950556026416626
Ethel + Thomas Dolby,1,146.32,0.0,0,0,0,0.2620382206304069
Eugenia Cheng,1,263.98,0.0,0,0,1,6.306408628822247
Eugenia Kuyda,1,1442.37,0.0,0,0,0,2.5864146209318157
Euna Lee,1,1582.81,0.0,0,0,1,8.671639389988488
Euvin Naidoo,1,83.7,0.0,0,0,1,5.983088866894592
Eva Galperin,1,1725.73,0.0,0,0,1,8.927956565352925
Eva Vertes,1,172.29,0.0,0,0,1,6.141968929625738
Eva Zeisel,1,88.03,0.0,0,0,1,5.9908544236349215
Evan Grant,1,204.03,0.0,0,0,0,0.36553713044206104
Evan Williams,1,218.92,0.0,0,0,0,0.3922413197869844
Eve Abrams,1,382.32,0.0,0,0,0,0.6852879644451769
Eve Pearlman,1,1298.87,0.0,0,0,0,2.329057255519021
Evelyn Glennie,1,1028.15,0.0,0,0,1,7.676894886156709
Evgeny Morozov,1,92.06,0.0,0,0,1,5.998081951039895
Eythor Bender,1,281.56,0.0,0,0,0,0.5045818450096844
Fabian Hemmert,1,179.91,0.0,0,0,0,0.32227957187929723
Fabian Oefner,1,441.17,0.0,0,0,1,6.624186688595718
Fabien Cousteau,1,326.92,0.0,0,0,1,6.419287183380305
Fadi Chehadé,1,623.44,0.0,0,0,1,6.9510753784479125
Fahad Al-Attiya,1,349.08,0.0,0,0,0,0.6256743140875372
Fahad Saeed,1,51.67,0.0,0,0,0,0.09228996532503414
Faheem Curtis-Khidr,1,18.98,0.0,0,0,0,0.03366270208221708
Faisal Saeed Al Mutar,1,1129.54,0.0,0,0,1,7.858730867196451
Faith Jegede Cole,1,321.69,0.0,0,0,0,0.5765522357693739
Faith Osier,1,648.12,0.0,0,0,1,6.9953372584366775
Fallon Goodman,1,1845.34,0.0,0,0,1,9.142468861360063
Fang Ruan,1,1087.83,0.0,0,0,0,1.950571552406017
Farhad Mohit,1,1075.67,0.0,0,0,0,1.9287634300128493
Farida Nabourema,1,749.79,0.0,0,0,1,7.177675400189424
Fariel Salahuddin,1,1329.87,0.0,0,0,0,2.3846536201726565
Farish Ahmad-Noor,1,1074.15,0.0,0,0,0,1.9260374147137032
Farwiza Farhan,1,1033.61,0.0,0,0,0,1.8533317171956911
Fatima AlZahra'a Alatraktchi,1,817.71,0.0,0,0,0,1.4661299388498914
Fatma Karume,1,988.1,0.0,0,0,1,7.605067969886448
Fatmata Binta,1,5.97,0.0,0,0,0,0.01033016323886896
Fawn Qiu,1,393.13,0.0,0,0,0,0.7046749548292348
Fay Bound Alberti,1,11.19,0.0,0,0,1,5.853047176538621
Federica Bianco,1,854.68,0.0,0,0,0,1.5324330872771459
Fehinti Balogun,1,1264.91,0.0,0,0,0,2.2681523347565236
Fei Luo,1,1349.72,0.0,0,0,0,2.420253227862162
Feisal Abdul Rauf,1,103.65,0.0,0,0,1,6.018867817695883
Felice Belle,1,355.41,0.0,0,0,0,0.6370267330635859
Felipe Sánchez Luna,1,1163.77,0.0,0,0,1,7.920120014360771
Felix Dennis,1,58.05,0.0,0,0,1,5.937087358721504
Femi Oke,1,1409.42,0.0,0,0,1,8.360676368462883
Fenton Lutunatabua,1,1686.03,0.0,0,0,0,3.0234020471093874
Feras Fayyad,1,977.99,0.0,0,0,1,7.58693638128489
Fernanda Castillo,1,606.49,0.0,0,0,1,6.9206767210002
Fernando Salem,1,117.54,0.0,0,0,0,0.21042327305841932
Fields Wicker-Miurin,1,265.7,0.0,0,0,0,0.47613802748043754
Findlay Napier,1,0.72,0.0,0,0,1,5.834269952734635
Finn Lützow-Holm Myrstad,1,802.6,0.0,0,0,1,7.272386497523567
Fiorenzo Omenetto,1,157.07,0.0,0,0,0,0.28131760514739323
First Aid Kit,1,3.63,0.0,0,0,1,5.839488837287607
Flor de Toloache,1,1.45,0.0,0,0,1,5.835579157450672
Florian Pinel,1,5.28,0.0,0,0,0,0.009092695767546117
Floyd E. Romesberg,1,696.64,0.0,0,0,1,7.082354536275205
France Villarta,1,1003.7,0.0,0,0,0,1.799690192460523
Frances Frei,1,2547.94,100.0,1,1,1,46.23600185379287
Frances Larson,1,349.64,0.0,0,0,0,0.6266786355135384
Frances S. Chance,1,1292.36,0.0,0,0,0,2.317382018941758
Francesca Hogi,1,940.46,0.0,0,0,1,7.519628911431635
Francesca Simon-Carboni,1,3.29,0.0,0,0,0,0.005523767843006318
Francesco Sauro,1,444.31,0.0,0,0,0,0.7964627594412682
Francis Collins,1,211.46,0.0,0,0,1,6.212217626512282
Francis Sanzaro,1,35.81,0.0,0,0,0,0.06384614779578733
Francis de los Reyes,1,1478.37,0.0,0,0,0,2.6509781411747464
Francisca Mutapi,1,8.03,0.0,0,0,1,5.847379934206186
Francisco Samper,1,23.7,0.0,0,0,0,0.042127696958512484
Franco Sacchi,1,47.91,0.0,0,0,1,5.918901967186412
Frank Müller-Pierstorff,1,1.59,0.0,0,0,0,0.0024749349426456883
Frank Warren,1,758.07,0.0,0,0,0,1.3591697069807693
Franklin Leonard,1,700.79,0.0,0,0,1,7.089797275414321
Frans von der Dunk,1,9.48,0.0,0,0,0,0.016625106462554735
Franz Freudenthal,1,496.03,0.0,0,0,1,6.722574319721473
Franziska Trautmann,1,1251.34,0.0,0,0,0,2.243815474487174
François Candelon,1,9.71,0.0,0,0,0,0.01703759561966235
Françoise Mouly,1,433.54,0.0,0,0,1,6.6105028091664515
Freada Kapor Klein,1,904.45,0.0,0,0,1,7.455047456877526
Fred Jansen,1,363.35,0.0,0,0,0,0.6512665761393879
Fred Krupp,1,575.97,0.0,0,0,1,6.865941203283138
Fred Swaniker,1,377.16,0.0,0,0,1,6.5093891627415505
Frederic Kaplan,1,291.92,0.0,0,0,0,0.5231617913907057
Frederick Balagadde,1,59.3,0.0,0,0,0,0.1059738447542998
Frederick Streeter Barrett,1,172.07,0.0,0,0,0,0.3082190719152812
Fredros Okumu,1,445.79,0.0,0,0,1,6.632472340360228
Fredy Peccerelli,1,231.87,0.0,0,0,1,6.248821555627789
Freeman Dyson,1,187.96,0.0,0,0,1,6.1700719952425915
Freeman H. Shen,1,1132.66,0.0,0,0,0,2.030971069419645
Freeman Hrabowski,1,268.49,0.0,0,0,1,6.314497003163792
Frédette Lampre,1,1702.89,0.0,0,0,0,3.053639295756493
G. Willow Wilson,1,30.64,0.0,0,0,1,5.887929411780983
G.T. Bynum,1,335.76,0.0,0,0,1,6.43514111446218
Gabby Giffords,1,278.96,0.0,0,0,1,6.333274226967777
Gabby Rivera,1,616.39,0.0,0,0,1,6.938431689067007
Gabe Barcia-Colombo,1,198.42,0.0,0,0,1,6.188831284735398
Gabe Brown,1,1456.48,0.0,0,0,1,8.445075236869336
