speaker,videos,average_popularity_score,viral_rate,viral_consistency,viral_presence,wikipedia_numeric,comprehensive_popularity_score
Brian Greene,2,1265.95,0.0,0,0,1,8.103372805983625
Chris Abani,2,142.13,0.0,0,0,1,6.087879047111104
Allan Adams,2,629.61,0.0,0,0,1,6.962140848445104
Dan Pallotta,2,920.17,0.0,0,0,1,7.483240194050272
George Whitesides,2,112.71,0.0,0,0,0,0.20176100075915937
Julián Delgado Lopera,2,692.75,0.0,0,0,1,7.075378089226733
Chris Fisher,2,478.25,0.0,0,0,0,0.8573318115814093
Joshua Prager,2,754.15,0.0,0,0,0,1.352139456998761
Joshua Prince-Ramus,2,172.68,0.0,0,0,1,6.142668367761702
Gever Tulley,2,547.48,0.0,0,0,1,6.814846350735329
Chris Milk,2,361.05,0.0,0,0,1,6.480496987432839
Ash Beckham,2,572.11,0.0,0,0,0,1.0256632563036734
Bruce Aylward,2,229.21,0.0,0,0,1,6.244051028854282
Emily Levine,2,728.58,0.0,0,0,1,7.139636726179628
Amanda Palmer,2,1528.91,50.0,1,1,1,26.90837583316725
Jay Walker,2,486.9,0.0,0,0,0,0.8728449907508915
John Hockenberry,2,130.85,0.0,0,0,1,6.067649144101653
Amane Dannouni,2,1081.67,0.0,0,0,0,1.9395240167200047
Ashraf Ghani,2,152.99,0.0,0,0,1,6.107355709051056
Janet Iwasa,2,515.56,0.0,0,0,1,6.757600029453263
John Hodgman,2,322.19,0.0,0,0,1,6.410804254192831
Emma Belcher,2,486.34,0.0,0,0,0,0.8718406693248902
Jinha Lee,2,215.17,0.0,0,0,0,0.38551595309501246
Janine Benyus,2,341.14,0.0,0,0,1,6.444789773876263
Johnny Staats,2,6.29,0.0,0,0,1,5.844259364061111
Asmeret Asefaw Berhe,2,937.09,0.0,0,0,1,7.51358504856445
E.O. Wilson,2,277.57,0.0,0,0,1,6.330781357713954
Atul Gawande,2,945.7,0.0,0,0,1,7.529026490489217
Ilona Szabó de Carvalho,2,1641.44,50.0,1,1,1,27.110190636859944
Amir Nizar Zuabi,2,1010.14,0.0,0,0,0,1.8112398888595362
Amit Sood,2,249.27,0.0,0,0,1,6.2800272570785385
Ed Boyden,2,350.74,0.0,0,0,1,6.462006712607711
Amma Y. Ghartey-Tagoe Kootin,2,503.72,0.0,0,0,0,0.9030105021532832
Amory Lovins,2,218.08,0.0,0,0,1,6.22409014051251
Giorgia Lupi,2,855.23,0.0,0,0,1,7.366774777256496
Christine Blume,2,855.1,0.0,0,0,0,1.533186328346647
Johann Hari,2,7079.62,100.0,2,1,1,55.19659425381083
James Logan,2,90.6,0.0,0,0,0,0.1621082387432926
Jared Diamond,2,398.65,0.0,0,0,1,6.547929997464344
Eddi Reader,2,91.63,0.0,0,0,1,5.997310775659216
Debbie Millman,2,485.27,0.0,0,0,1,6.7032770008933085
Cameron Sinclair,2,137.93,0.0,0,0,1,6.080346636416096
Deborah Gordon,2,474.65,0.0,0,0,1,6.6842307624216435
Ayana Elizabeth Johnson,2,770.95,0.0,0,0,1,7.215624402643322
Karen Armstrong,2,177.82,0.0,0,0,1,6.151886603707499
Karen Lloyd,2,932.62,0.0,0,0,1,7.505568411467618
Kary Mullis,2,132.94,0.0,0,0,1,6.071397415137978
Kasley Killam,2,2237.42,50.0,1,1,0,22.345684411617135
Kate Stone,2,367.87,0.0,0,0,1,6.492728187656639
Graham Hill,2,886.69,0.0,0,0,1,7.423196120224346
Keller Rinaudo Cliffton,2,363.88,0.0,0,0,1,6.485572397496381
Ken Goldberg,2,656.68,0.0,0,0,1,7.010689028805553
Keolu Fox,2,703.66,0.0,0,0,1,7.094944422722578
Kesha,2,921.04,0.0,0,0,1,7.484800479122809
Glenn Cantave,2,103.9,0.0,0,0,0,0.1859608726108199
Kevin Stone,2,99.01,0.0,0,0,1,6.010546297309015
Kim Gorgens,2,796.42,0.0,0,0,0,1.4279477903506692
Kitra Cahana,2,340.79,0.0,0,0,1,6.444162072985011
Krista Tippett,2,650.74,0.0,0,0,1,7.000036047965469
Kristen Marhaver,2,369.32,0.0,0,0,1,6.495328662777535
Kristine McDivitt Tompkins,2,1247.16,0.0,0,0,0,2.2363189324145227
LaToya Ruby Frazier,2,697.41,0.0,0,0,1,7.083735478235957
Larry Brilliant,2,676.55,0.0,0,0,1,7.046324505117414
Camille Seaman,2,1028.01,0.0,0,0,1,7.676643805800206
Laura Boushnak,2,250.37,0.0,0,0,1,6.282000031308183
Jennifer Doudna,2,1655.14,0.0,0,0,1,8.801358262743245
Lauren Sallan,2,608.55,0.0,0,0,1,6.92437118910299
Aziz Abu Sarah,2,2195.11,50.0,1,1,1,28.103159643885046
Lee Cronin,2,196.05,0.0,0,0,0,0.3512255501215447
Lesley Hazleton,2,426.45,0.0,0,0,1,6.59778738254083
Leticia Gasca,2,470.29,0.0,0,0,0,0.8430560998832501
Levon Biss,2,225.35,0.0,0,0,0,0.4037730818748191
Lewis Pugh,2,194.94,0.0,0,0,1,6.182590144445248
Lily Yeh,2,910.64,0.0,0,0,1,7.466148795497074
Lindiwe Mazibuko,2,475.12,0.0,0,0,1,6.685073675047038
Liv Boeree,2,1363.15,0.0,0,0,1,8.27769431063954
Liz Ogbu,2,563.13,0.0,0,0,1,6.842913547729824
Jack Dangermond,2,962.43,0.0,0,0,1,7.559030593091003
Lucy Hone,2,2073.62,50.0,1,1,0,22.0519203945118
Luis von Ahn,2,7525.51,50.0,1,1,1,37.66286487452169
Luisa Neubauer,2,1386.9,0.0,0,0,1,8.320288299688695
Madame Gandhi,2,553.74,0.0,0,0,1,6.826073229533128
Maira Kalman,2,794.87,0.0,0,0,1,7.258523274982514
Christopher Bell,2,1548.16,50.0,1,1,0,21.10954407932151
James Nachtwey,2,172.25,0.0,0,0,1,6.141897192381023
Mandy Len Catron,2,1066.18,0.0,0,0,0,1.9117437687043655
Manoush Zomorodi,2,1632.07,50.0,1,1,1,27.0933861872856
Manu Prakash,2,528.54,0.0,0,0,1,6.7808787653630755
Anand Giridharadas,2,421.99,0.0,0,0,1,6.589788679755178
Marcelo Mena,2,471.57,0.0,0,0,1,6.678706994578637
Eric Berlow,2,308.49,0.0,0,0,1,6.38623424787816
Margaret Gould Stewart,2,278.17,0.0,0,0,0,0.4985021135201417
Jennifer Golbeck,2,1192.56,0.0,0,0,1,7.971752896243937
Maria Popova,2,716.0,0.0,0,0,1,7.117075362716959
Eric Dishman,2,182.45,0.0,0,0,0,0.32683488691865964
Martin Rees,2,387.53,0.0,0,0,1,6.52798704343375
Baratunde Thurston,2,1648.8,50.0,1,1,1,27.123390289887382
Mary Lou Jepsen,2,299.81,0.0,0,0,1,6.3706672657751415
Mary Robinson,2,863.52,0.0,0,0,1,7.3816423212235485
Maryn McKenna,2,283.21,0.0,0,0,1,6.34089630921868
Matt Cutts,2,1864.79,50.0,1,1,1,27.510753477033788
Matthieu Ricard,2,1131.27,0.0,0,0,1,7.861833503030348
Max Tegmark,2,866.78,0.0,0,0,1,7.3874889066677705
Maz Jobrani,2,2917.08,50.0,1,1,1,29.39796310804585
Jack Horner,2,646.93,0.0,0,0,0,1.1598477725418979
Melissa Fleming,2,433.26,0.0,0,0,1,6.610000648453451
Del Harvey,2,130.55,0.0,0,0,1,6.067111114766295
Michael Metcalfe,2,281.44,0.0,0,0,0,0.5043666332755413
Carl Honoré,2,288.37,0.0,0,0,1,6.3501504137868325
Michael Shermer,2,882.97,0.0,0,0,1,7.416524556465911
Miguel Nicolelis,2,341.74,0.0,0,0,1,6.4458658325469775
Kathryn Schulz,2,792.33,0.0,0,0,1,7.253967959943153
Min Kym,2,857.12,0.0,0,0,0,1.5368090592047225
