,speaker,video_ids,videos,views,topics,average_views
2431,Kate Marvel,[2816],1,1359705,"['climate change, environment, science, biosphere, nature, future, water, Anthropocene']",1359705.0
2432,Kate Orff,[1064],1,423461,"['design, architecture, cities, biology']",423461.0
2433,Kate Raworth,[15537],1,5340496,"['climate change, global issues, sustainability, economics, biosphere, social change, nature, future, history, community, pollution, society, infrastructure, natural resources']",5340496.0
2434,Kate Stafford,[2776],1,1298413,"['climate change, environment, science, biosphere, music, animals, nature, biology, communication, biodiversity, water, beauty, TEDx, sound, Anthropocene, Antarctica, ocean']",1298413.0
9,Aaron Duffy,[14610],1,14978,"['film, visualizations']",14978.0
2436,Kate Wagner,[23416],1,455977,"['design, architecture, urban planning, education, art']",455977.0
2437,Katharine Hayhoe,[29968],1,4213653,"['climate change, environment, global issues, science, sustainability, social change, nature, communication, pollution, society, weather, Anthropocene']",4213653.0
2438,Katharine Wilkinson,[31455],1,2050534,"['climate change, science, sustainability, biosphere, education, nature, communication, women, policy, farming']",2050534.0
2439,Katherine Dunn,[148243],1,329897,"['climate change, storytelling, communication, journalism, Countdown']",329897.0
2440,Katherine Eban,[64354],1,448193,"['corruption, health, medicine, public health, journalism, drugs']",448193.0
2441,Katherine Fulton,[585],1,527052,"['global issues, community, activism, philanthropy, potential']",527052.0
2442,Katherine James,[109038],1,51506,"['climate change, technology, robots, food, agriculture']",51506.0
2443,Katherine Kuchenbecker,[1705],1,696512,"['technology, engineering']",696512.0
2444,Katherine Lucas,[18811],1,172127,"['leadership, work, society']",172127.0
2445,Katherine M. Gehl,[74616],1,1343965,"['politics, innovation, social change, United States, TEDx, policy']",1343965.0
2446,Katherine Maher,[88135],1,2104444,"['global issues, business, collaboration, education, innovation, democracy, Internet, trust']",2104444.0
2447,Katherine Mangu-Ward,[96395],1,1853240,"['business, economics, leadership, work, government, policy, capitalism']",1853240.0
2448,Katherine Saunders,[141560],1,531998,"['genetics, health, biology, human body']",531998.0
2449,Kathleen McAuliffe,[124498],1,1223370,"['science, health, cognitive science, microbiology, TEDx, microbes, personality, human body']",1223370.0
2450,Kathryn A. Whitehead,[80431],1,2013257,"['science, health, health care, medicine, Vaccines, medical research, pandemic, coronavirus']",2013257.0
2451,Kathryn Bouskill,[53211],1,2419338,"['culture, technology, society, productivity, TEDx, mindfulness']",2419338.0
2452,Kathryn Kolbert,[84912],1,2279487,"['social change, history, United States, women, law']",2279487.0
2453,Kathryn Mannix,[122060],1,1473936,"['culture, death, health, health care, medicine, personal growth, family, TEDx, Life']",1473936.0
10,Aaron Horowitz,[9507],1,16970,"['disease, health, communication, kids']",16970.0
2455,Kathy Hannun,[76209],1,1638801,"['climate change, environment, science, sustainability, technology, innovation, nature, energy, TED Fellows, resources']",1638801.0
2456,Kathy Hull,[2698],1,1077935,"['death, innovation, social change, health care, community, parenting, happiness, humanity, illness, society, family, kids, gardening']",1077935.0
