,speaker,video_ids,videos,views,topics,average_views
2376,Kandice Sumner,[2616],1,2147349,"['education, community, race, United States, personal growth, society, TEDx, Slavery, policy, teaching, kids, equality']",2147349.0
2377,Kang Lee,[2501],1,14732130,"['psychology, communication, parenting, motivation, decision-making, body language, teaching, emotions, kids']",14732130.0
2378,Kanika Chawla,[160682],1,302864,"['climate change, energy, solar energy, finance, india, Countdown, renewable energy']",302864.0
2379,Kara Hurst,[66945],1,1573334,"['climate change, environment, sustainability, business, leadership, Countdown']",1573334.0
2380,Kara Logan Berlin,[52464],1,2384268,"['economics, social change, activism, TEDx, money, finance, investing']",2384268.0
2381,Karalee Close,[5134],1,35619,"['science, technology, genetics, health, health care, data']",35619.0
2382,Kare Anderson,[2122],1,2744884,"['business, creativity, communication, work']",2744884.0
2383,Kareem Yusuf,[10043],1,38047,"['technology, communication, society']",38047.0
5,Aakash Odedra,[2147],1,958639,"['music, performance, dance']",958639.0
2385,Karen Bakker,[114534],1,1133103,"['science, technology, animals, nature, communication, language, AI, sound, conservation']",1133103.0
2386,Karen Bass,[1442],1,966871,"['environment, science, animals, nature, art, biology, film, photography, universe, biodiversity, exploration, travel']",966871.0
2387,Karen DeSalvo,[63812],1,350860,"['technology, health, health care, public health, pandemic, coronavirus']",350860.0
2388,Karen Eber,[70380],1,2217243,"['business, marketing, storytelling, communication, leadership, work, motivation, empathy, TEDx, trust, public speaking']",2217243.0
2389,Karen Gurney,[98350],1,1727010,"['social change, gender, relationships, personal growth, sex, society, TEDx']",1727010.0
2390,Karen J. Meech,[18928],1,10871606,"['science, nature, astronomy, universe, exploration, space, asteroid, astrobiology, aliens']",10871606.0
2391,Karen Lellouche Tordjman,[85220],1,1909547,"['technology, computers, future, AI, algorithm, machine learning']",1909547.0
6,Aala El-Khani,[2683],1,1268727,"['psychology, communication, community, parenting, war, natural disaster, violence, humanity, family, fear, TEDx, Middle East, vulnerability, refugees, teaching, kids']",1268727.0
2393,Karen Scrivener,[66829],1,1591524,"['climate change, science, sustainability, engineering, innovation, Countdown']",1591524.0
2394,Karen Thompson Walker,[1637],1,2791186,"['entertainment, death, creativity, storytelling, fear']",2791186.0
2395,Karen Tse,[1288],1,643049,"['global issues, politics, war, law, prison, justice system']",643049.0
2396,Karen Willcox,[116412],1,1087802,"['technology, design, engineering, computers, future, decision-making, TEDx']",1087802.0
2397,Karim Abouelnaga,[2775],1,1315393,"['education, social change, personal growth, society, TED Fellows, teaching, kids, equality']",1315393.0
2398,Karima Bennoune,[2042],1,1544574,"['social change, history, storytelling, religion, terrorism, war, humanity, TEDx']",1544574.0
2399,Karin Nilsdotter,[5135],1,14863,"['technology, business, entrepreneur, travel, space']",14863.0
2400,Karin Öberg,[59048],1,476941,"['science, universe, exploration, Planets, space, chemistry, discovery']",476941.0
2401,Karina Galperin,[2692],1,665334,"['education, innovation, communication, language, literature, writing, TEDx, teaching, grammar, TED en Español, kids']",665334.0
2402,Karinna Grant,[125795],1,569303,"['climate change, environment, sustainability, technology, design, fashion, shopping, metaverse, NFTs']",569303.0
2403,Karissa Sanbonmatsu,[29265],1,2859912,"['science, technology, DNA, genetics, gender, biology, activism, brain, identity, Transgender']",2859912.0
2404,Karl Skjonnemand,[32015],1,1798970,"['science, technology, design, computers, innovation, nature, future, potential, chemistry, manufacturing']",1798970.0
2405,Karla Souza,[16778],1,6835560,"['storytelling, family, TED en Español']",6835560.0
2406,Karleen Savage,[113676],1,477160,"['culture, relationships, communication, curiosity, Life']",477160.0
2407,Karoli Hindriks,[81573],1,1873506,"['technology, innovation, future, travel, humanity, government, immigration']",1873506.0
2408,Karoliina Korppoo,[2882],1,1538904,"['design, software, cities, urban planning, future, society, infrastructure, public space']",1538904.0
2409,Karoline Hjorth,[65878],1,183552,"['nature, creativity, art, storytelling, photography, humanity']",183552.0
2410,Karthik Muralidharan,[138368],1,499119,"['global issues, business, education, social change, philanthropy, international development']",499119.0
2411,Kartick Satyanarayan,[734],1,490312,"['environment, social change, animals, activism, biodiversity, india']",490312.0
7,Aarathi Krishnan,[91525],1,1639505,"['technology, innovation, future, human rights, ethics']",1639505.0
2413,Kasha Patel,[33777],1,41459,"['education, comedy, humor']",41459.0
2414,Kashfia Rahman,[37760],1,2637724,"['science, psychology, brain, decision-making, neuroscience, youth']",2637724.0
2415,Kashmir Hill,[19927],1,2210663,"['technology, business, consumerism, society, Internet, surveillance']",2210663.0
2416,Kasia Chmielinski,[132389],1,511303,"['technology, computers, software, AI, data, policy, machine learning']",511303.0
2417,Kasiva Mutua,[13591],1,1264014,"['entertainment, music, performance, Africa, art, TED Fellows']",1264014.0
8,Aaron Bastani,[101504],1,1726248,"['technology, business, economics, social change, government, policy, capitalism']",1726248.0
2419,Kat Cole,[146987],1,672293,"['business, leadership, personal growth, decision-making']",672293.0
2420,Kat Craig,[99705],1,1395495,"['social change, gender, activism, film, war, women, Middle East, human rights']",1395495.0
2421,Kate Ackerman,[107255],1,1510344,"['science, health, medicine, sports, personal growth, women, TEDx, medical research']",1510344.0
2422,Kate Adams,[2637],1,1789579,"['business, storytelling, personal growth, television']",1789579.0
2423,Kate Bowler,[42424],1,9758052,"['death, cancer, love, relationships, communication, personal growth, humanity, beauty, family, TEDMED']",9758052.0
2424,Kate Darling,[26073],1,3157907,"['technology, design, innovation, robots, future, humanity, society, emotions']",3157907.0
2425,Kate E. Brandt,[41903],1,66681,"['environment, sustainability, technology, business, energy']",66681.0
2426,Kate Fagan,[99571],1,1555740,"['business, social change, gender, psychology, history, sports, TEDx, journalism']",1555740.0
2427,Kate Hartman,[1222],1,1045753,"['culture, art, communication, glaciers']",1045753.0
2428,Kate Johnson,[162374],1,241532,"['culture, technology, media, sports, AI, algorithm']",241532.0
2429,Kate Kahle,[108039],1,1594444,"['social change, personal growth, brain, humanity, TEDx, medical research, Autism spectrum disorder']",1594444.0
2430,Kate Lister,[74913],1,1519010,"['education, social change, history, language, humor, ancient world, sex, society, TEDx']",1519010.0
